budget_id,fiscal_year,fiscal_period,account_code,cost_centre_code,budget_amount_gbp,status,version
1,FY2023,1,4000,CC200,196800.0,APPROVED,v2
2,FY2023,1,4000,CC210,32750.0,APPROVED,v2
3,FY2023,1,4010,CC220,167600.0,APPROVED,v2
4,FY2023,1,4020,CC200,4800.0,APPROVED,v2
5,FY2023,1,4020,CC220,93450.0,APPROVED,v2
6,FY2023,1,4030,CC200,44850.0,APPROVED,v2
7,FY2023,1,4030,CC210,45550.0,APPROVED,v2
8,FY2023,1,5000,CC300,72750.0,APPROVED,v2
9,FY2023,1,5000,CC400,98650.0,APPROVED,v2
10,FY2023,1,5010,CC300,2750.0,APPROVED,v2
11,FY2023,1,5020,CC400,4900.0,APPROVED,v2
12,FY2023,1,6000,CC100,14500.0,APPROVED,v2
13,FY2023,1,6000,CC200,42100.0,APPROVED,v2
14,FY2023,1,6000,CC210,29550.0,APPROVED,v2
15,FY2023,1,6000,CC220,14100.0,APPROVED,v2
16,FY2023,1,6000,CC300,51050.0,APPROVED,v2
17,FY2023,1,6000,CC400,41050.0,APPROVED,v2
18,FY2023,1,6000,CC500,19900.0,APPROVED,v2
19,FY2023,1,6000,CC600,21150.0,APPROVED,v2
20,FY2023,1,6010,CC100,2100.0,APPROVED,v2
21,FY2023,1,6010,CC200,5550.0,APPROVED,v2
22,FY2023,1,6010,CC210,4200.0,APPROVED,v2
23,FY2023,1,6010,CC220,2150.0,APPROVED,v2
24,FY2023,1,6010,CC300,6450.0,APPROVED,v2
25,FY2023,1,6010,CC400,6200.0,APPROVED,v2
26,FY2023,1,6010,CC500,3050.0,APPROVED,v2
27,FY2023,1,6010,CC600,2850.0,APPROVED,v2
28,FY2023,1,6020,CC100,600.0,APPROVED,v2
29,FY2023,1,6020,CC200,1750.0,APPROVED,v2
30,FY2023,1,6020,CC210,1200.0,APPROVED,v2
31,FY2023,1,6020,CC220,600.0,APPROVED,v2
32,FY2023,1,6020,CC300,1800.0,APPROVED,v2
33,FY2023,1,6020,CC400,1700.0,APPROVED,v2
34,FY2023,1,6020,CC500,750.0,APPROVED,v2
35,FY2023,1,6020,CC600,850.0,APPROVED,v2
36,FY2023,1,6040,CC100,4300.0,APPROVED,v2
37,FY2023,1,6120,CC400,2600.0,APPROVED,v2
38,FY2023,1,6200,CC210,2300.0,APPROVED,v2
39,FY2023,1,6210,CC220,2500.0,APPROVED,v2
40,FY2023,1,6220,CC220,850.0,APPROVED,v2
41,FY2023,1,6300,CC600,7400.0,APPROVED,v2
42,FY2023,1,6310,CC600,900.0,APPROVED,v2
43,FY2023,1,6320,CC100,1950.0,APPROVED,v2
44,FY2023,1,6510,CC500,750.0,APPROVED,v2
45,FY2023,1,6600,CC100,16800.0,APPROVED,v2
46,FY2023,1,6900,CC220,-800.0,APPROVED,v2
47,FY2023,2,4000,CC200,195250.0,APPROVED,v2
