rate_date,from_currency,to_currency,rate
2022-01-03,EUR,GBP,0.838133
2022-01-03,USD,GBP,0.777451
2022-01-04,EUR,GBP,0.837298
2022-01-04,USD,GBP,0.781427
2022-01-05,EUR,GBP,0.837384
2022-01-05,USD,GBP,0.785914
2022-01-06,EUR,GBP,0.838872
2022-01-06,USD,GBP,0.789225
2022-01-07,EUR,GBP,0.836607
2022-01-07,USD,GBP,0.789442
2022-01-10,EUR,GBP,0.831338
2022-01-10,USD,GBP,0.784236
2022-01-11,EUR,GBP,0.831314
2022-01-11,USD,GBP,0.785772
2022-01-12,EUR,GBP,0.832361
2022-01-12,USD,GBP,0.786451
2022-01-13,EUR,GBP,0.831772
2022-01-13,USD,GBP,0.785554
2022-01-14,EUR,GBP,0.836337
2022-01-14,USD,GBP,0.78806
2022-01-17,EUR,GBP,0.832596
2022-01-17,USD,GBP,0.787576
2022-01-18,EUR,GBP,0.830189
2022-01-18,USD,GBP,0.789819
2022-01-19,EUR,GBP,0.830349
2022-01-19,USD,GBP,0.787427
2022-01-20,EUR,GBP,0.828444
2022-01-20,USD,GBP,0.785587
2022-01-21,EUR,GBP,0.832146
2022-01-21,USD,GBP,0.789883
2022-01-24,EUR,GBP,0.830328
2022-01-24,USD,GBP,0.796814
2022-01-25,EUR,GBP,0.83281
2022-01-25,USD,GBP,0.802548
2022-01-26,EUR,GBP,0.836894
2022-01-26,USD,GBP,0.802076
2022-01-27,EUR,GBP,0.836316
2022-01-27,USD,GBP,0.804432
2022-01-28,EUR,GBP,0.834425
2022-01-28,USD,GBP,0.805632
2022-01-31,EUR,GBP,0.83129
2022-01-31,USD,GBP,0.813793
2022-02-01,EUR,GBP,0.831302
2022-02-01,USD,GBP,0.813665
2022-02-02,EUR,GBP,0.83061
2022-02-02,USD,GBP,0.810592
2022-02-03,EUR,GBP,0.833709
2022-02-03,USD,GBP,0.802491
2022-02-04,EUR,GBP,0.829181
2022-02-04,USD,GBP,0.799432
2022-02-07,EUR,GBP,0.82388
2022-02-07,USD,GBP,0.790928
2022-02-08,EUR,GBP,0.822711
2022-02-08,USD,GBP,0.788582
2022-02-09,EUR,GBP,0.821981
2022-02-09,USD,GBP,0.788967
2022-02-10,EUR,GBP,0.825265
2022-02-10,USD,GBP,0.785916
2022-02-11,EUR,GBP,0.828636
2022-02-11,USD,GBP,0.786504
2022-02-14,EUR,GBP,0.827814
2022-02-14,USD,GBP,0.791892
2022-02-15,EUR,GBP,0.824721
2022-02-15,USD,GBP,0.789759
2022-02-16,EUR,GBP,0.824999
2022-02-16,USD,GBP,0.789051
2022-02-17,EUR,GBP,0.823909
2022-02-17,USD,GBP,0.788812
2022-02-18,EUR,GBP,0.826107
2022-02-18,USD,GBP,0.787974
2022-02-21,EUR,GBP,0.829565
2022-02-21,USD,GBP,0.78754
2022-02-22,EUR,GBP,0.828346
2022-02-22,USD,GBP,0.786416
2022-02-23,EUR,GBP,0.824684
2022-02-23,USD,GBP,0.783018
2022-02-24,EUR,GBP,0.82289
2022-02-24,USD,GBP,0.785401
2022-02-25,EUR,GBP,0.82127
2022-02-25,USD,GBP,0.787018
2022-02-28,EUR,GBP,0.832538
2022-02-28,USD,GBP,0.793591
2022-03-01,EUR,GBP,0.832516
2022-03-01,USD,GBP,0.793959
2022-03-02,EUR,GBP,0.837898
2022-03-02,USD,GBP,0.792437
2022-03-03,EUR,GBP,0.837992
2022-03-03,USD,GBP,0.793757
2022-03-04,EUR,GBP,0.836602
2022-03-07,EUR,GBP,0.836233
2022-03-07,USD,GBP,0.781323
2022-03-08,EUR,GBP,0.838577
2022-03-08,USD,GBP,0.778547
2022-03-09,EUR,GBP,0.835811
2022-03-09,USD,GBP,0.778695
2022-03-10,EUR,GBP,0.836826
2022-03-10,USD,GBP,0.779673
2022-03-11,EUR,GBP,0.833352
2022-03-11,USD,GBP,0.776203
2022-03-14,EUR,GBP,0.836254
2022-03-14,USD,GBP,0.780216
2022-03-15,EUR,GBP,0.837769
2022-03-15,USD,GBP,0.778109
2022-03-16,EUR,GBP,0.836711
2022-03-16,USD,GBP,0.778628
2022-03-17,EUR,GBP,0.837657
2022-03-17,USD,GBP,0.776097
2022-03-18,EUR,GBP,0.844065
2022-03-18,USD,GBP,0.777329
2022-03-21,EUR,GBP,0.845973
2022-03-21,USD,GBP,0.782116
2022-03-22,EUR,GBP,0.84396
2022-03-22,USD,GBP,0.784667
2022-03-23,EUR,GBP,0.845058
2022-03-23,USD,GBP,0.791531
2022-03-24,EUR,GBP,0.84004
2022-03-24,USD,GBP,0.792446
2022-03-25,EUR,GBP,0.842337
2022-03-25,USD,GBP,0.796465
2022-03-28,EUR,GBP,0.842475
2022-03-28,USD,GBP,0.789057
2022-03-29,EUR,GBP,0.838052
2022-03-29,USD,GBP,0.789442
2022-03-30,EUR,GBP,0.841323
2022-03-30,USD,GBP,0.795399
2022-03-31,EUR,GBP,0.841438
2022-03-31,USD,GBP,0.794088
2022-04-01,EUR,GBP,0.840725
2022-04-01,USD,GBP,0.795478
2022-04-04,EUR,GBP,0.839145
2022-04-04,USD,GBP,0.794361
2022-04-05,EUR,GBP,0.834219
2022-04-05,USD,GBP,0.799737
2022-04-06,EUR,GBP,0.834857
2022-04-06,USD,GBP,0.798347
2022-04-07,EUR,GBP,0.828807
2022-04-07,USD,GBP,0.803206
2022-04-08,EUR,GBP,0.826321
2022-04-08,USD,GBP,0.800272
2022-04-11,EUR,GBP,0.831647
2022-04-11,USD,GBP,0.801584
2022-04-12,EUR,GBP,0.827543
2022-04-12,USD,GBP,0.799059
2022-04-13,EUR,GBP,0.833233
2022-04-13,USD,GBP,0.796859
2022-04-14,EUR,GBP,0.835856
2022-04-14,USD,GBP,0.79712
2022-04-15,EUR,GBP,0.837958
2022-04-15,USD,GBP,0.79673
2022-04-18,EUR,GBP,0.84177
2022-04-18,USD,GBP,0.794906
2022-04-19,EUR,GBP,0.842558
2022-04-19,USD,GBP,0.797972
2022-04-20,EUR,GBP,0.844371
2022-04-20,USD,GBP,0.796549
2022-04-21,EUR,GBP,0.846858
2022-04-21,USD,GBP,0.795738
2022-04-22,EUR,GBP,0.851131
2022-04-22,USD,GBP,0.794438
2022-04-25,EUR,GBP,0.85536
2022-04-25,USD,GBP,0.794629
2022-04-26,EUR,GBP,0.858304
2022-04-26,USD,GBP,0.792206
2022-04-27,EUR,GBP,0.853883
2022-04-27,USD,GBP,0.785674
2022-04-28,EUR,GBP,0.850691
2022-04-28,USD,GBP,0.786378
2022-04-29,EUR,GBP,0.846292
2022-04-29,USD,GBP,0.786829
2022-05-02,EUR,GBP,0.840097
2022-05-02,USD,GBP,0.785956
2022-05-03,EUR,GBP,0.838652
2022-05-03,USD,GBP,0.783945
2022-05-04,EUR,GBP,0.841262
2022-05-04,USD,GBP,0.785786
2022-05-05,EUR,GBP,0.840331
2022-05-05,USD,GBP,0.781395
2022-05-06,EUR,GBP,0.837928
2022-05-06,USD,GBP,0.782006
2022-05-09,EUR,GBP,0.836637
2022-05-09,USD,GBP,0.782678
2022-05-10,EUR,GBP,0.833106
2022-05-10,USD,GBP,0.780961
2022-05-11,EUR,GBP,0.831226
2022-05-11,USD,GBP,0.779042
2022-05-12,EUR,GBP,0.828539
2022-05-12,USD,GBP,0.776928
2022-05-13,EUR,GBP,0.824609
2022-05-13,USD,GBP,0.780926
