gl_id,journal_id,line_number,account_code,cost_centre_code,entry_date,line_description,debit,credit
1,JE-2022-00001,1,1200,CC200,2022-01-14,Sales invoice SI-2022-00001,7634.83,0.0
2,JE-2022-00001,2,4020,CC200,2022-01-14,Sales invoice SI-2022-00001,0.0,6362.36
3,JE-2022-00001,3,2100,CC200,2022-01-14,Output VAT SI-2022-00001,0.0,1272.47
4,JE-2022-00002,1,1200,CC220,2022-01-05,Sales invoice SI-2022-00002,2194.98,0.0
5,JE-2022-00002,2,4020,CC220,2022-01-05,Sales invoice SI-2022-00002,0.0,2194.98
6,JE-2022-00003,1,1200,CC210,2022-01-03,Sales invoice SI-2022-00003,9674.92,0.0
7,JE-2022-00003,2,4000,CC210,2022-01-03,Sales invoice SI-2022-00003,0.0,8062.43
8,JE-2022-00003,3,2100,CC210,2022-01-03,Output VAT SI-2022-00003,0.0,1612.49
9,JE-2022-00004,1,1200,CC200,2022-01-21,Sales invoice SI-2022-00004,5838.42,0.0
10,JE-2022-00004,2,4030,CC200,2022-01-21,Sales invoice SI-2022-00004,0.0,4865.35
11,JE-2022-00004,3,2100,CC200,2022-01-21,Output VAT SI-2022-00004,0.0,973.07
12,JE-2022-00005,1,1200,CC210,2022-01-03,Sales invoice SI-2022-00005,29747.39,0.0
13,JE-2022-00005,2,4000,CC210,2022-01-03,Sales invoice SI-2022-00005,0.0,24789.49
14,JE-2022-00005,3,2100,CC210,2022-01-03,Output VAT SI-2022-00005,0.0,4957.9
15,JE-2022-00006,1,1200,CC210,2022-01-07,Sales invoice SI-2022-00006,5044.31,0.0
16,JE-2022-00006,2,4000,CC210,2022-01-07,Sales invoice SI-2022-00006,0.0,4203.59
17,JE-2022-00006,3,2100,CC210,2022-01-07,Output VAT SI-2022-00006,0.0,840.72
18,JE-2022-00007,1,1200,CC220,2022-01-07,  SALES INVOICE SI-2022-00007,4242.02,0.0
19,JE-2022-00007,2,4010,CC220,2022-01-07,Sales invoice SI-2022-00007,0.0,4242.02
20,JE-2022-00008,1,1200,CC200,2022-01-21,Sales invoice SI-2022-00008,4226.59,0.0
21,JE-2022-00008,2,4000,CC200,2022-01-21,Sales invoice SI-2022-00008,0.0,3522.16
22,JE-2022-00008,3,2100,CC200,2022-01-21,Output VAT SI-2022-00008,0.0,704.43
23,JE-2022-00009,1,1200,CC220,2022-01-06,Sales invoice SI-2022-00009,6595.92,0.0
24,JE-2022-00009,2,4010,CC220,2022-01-06,Sales invoice SI-2022-00009,0.0,6595.92
25,JE-2022-00010,1,1200,CC200,2022-01-03,Sales invoice SI-2022-00010,5448.13,0.0
26,JE-2022-00010,2,4030,CC200,2022-01-03,Sales invoice SI-2022-00010,0.0,4540.11
27,JE-2022-00010,3,2100,CC200,2022-01-03,Output VAT SI-2022-00010,0.0,908.02
28,JE-2022-00011,1,1200,CC220,2022-01-21,Sales invoice SI-2022-00011,12617.35,0.0
29,JE-2022-00011,2,4010,CC220,2022-01-21,Sales invoice SI-2022-00011,0.0,12617.35
30,JE-2022-00012,1,1200,CC200,2022-01-18,Sales invoice SI-2022-00012,7148.1,0.0
31,JE-2022-00012,2,4000,CC200,2022-01-18,Sales invoice SI-2022-00012,0.0,5956.75
32,JE-2022-00012,3,2100,CC200,2022-01-18,Output VAT SI-2022-00012,0.0,1191.35
33,JE-2022-00013,1,1200,CC220,2022-01-12,Sales invoice SI-2022-00013,6184.44,0.0
34,JE-2022-00013,2,4020,CC220,2022-01-12,Sales invoice SI-2022-00013,0.0,6184.44
35,JE-2022-00014,1,1200,CC210,2022-01-28,Sales invoice SI-2022-00014,24284.44,0.0
36,JE-2022-00014,2,4030,CC210,2022-01-28,Sales invoice SI-2022-00014,0.0,20237.03
37,JE-2022-00014,3,2100,CC210,2022-01-28,Output VAT SI-2022-00014,0.0,4047.41
38,JE-2022-00015,1,1200,CC220,2022-01-28,Sales invoice SI-2022-00015,8979.87,0.0
39,JE-2022-00015,2,4010,CC220,2022-01-28,Sales invoice SI-2022-00015,0.0,8979.87
40,JE-2022-00016,1,1200,CC210,2022-01-24,Sales invoice SI-2022-00016,15047.83,0.0
41,JE-2022-00016,2,4000,CC210,2022-01-24,Sales invoice SI-2022-00016,0.0,12539.86
42,JE-2022-00016,3,2100,,2022-01-24,Output VAT SI-2022-00016,0.0,2507.97
43,JE-2022-00017,1,1200,CC200,2022-01-03,Sales invoice SI-2022-00017,4240.5,0.0
44,JE-2022-00017,2,4000,CC200,2022-01-03,Sales invoice SI-2022-00017,0.0,3533.75
45,JE-2022-00017,3,2100,CC200,2022-01-03,Output VAT SI-2022-00017,0.0,706.75
46,JE-2022-00018,1,1200,CC210,2022-01-14,Sales invoice SI-2022-00018,19092.35,0.0
47,JE-2022-00018,2,4000,CC210,2022-01-14,Sales invoice SI-2022-00018,0.0,15910.29
48,JE-2022-00018,3,2100,CC210,2022-01-14,Output VAT SI-2022-00018,0.0,3182.06
49,JE-2022-00019,1,1200,CC200,2022-01-07,Sales invoice SI-2022-00019,32007.08,0.0
50,JE-2022-00019,2,4030,CC200,2022-01-07,Sales invoice SI-2022-00019,0.0,26672.57
51,JE-2022-00019,3,2100,CC200,2022-01-07,Output VAT SI-2022-00019,0.0,5334.51
52,JE-2022-00020,1,1200,CC220,2022-01-21,Sales invoice SI-2022-00020,4851.09,0.0
53,JE-2022-00020,2,4010,CC220,2022-01-21,Sales invoice SI-2022-00020,0.0,4851.09
54,JE-2022-00021,1,1200,CC200,2022-01-07,Sales invoice SI-2022-00021,8925.16,0.0
55,JE-2022-00021,2,4000,CC200,2022-01-07,Sales invoice SI-2022-00021,0.0,7437.63
56,JE-2022-00021,3,2100,CC200,2022-01-07,Output VAT SI-2022-00021,0.0,1487.53
57,JE-2022-00022,1,1200,CC200,2022-01-06,Sales invoice SI-2022-00022,19069.93,0.0
58,JE-2022-00022,2,4000,CC200,2022-01-06,Sales invoice SI-2022-00022,0.0,15891.61
59,JE-2022-00022,3,2100,CC200,2022-01-06,Output VAT SI-2022-00022,0.0,3178.32
60,JE-2022-00023,1,1200,CC200,2022-01-14,Sales invoice SI-2022-00023,3901.61,0.0
61,JE-2022-00023,2,4030,CC200,2022-01-14,Sales invoice SI-2022-00023,0.0,3251.34
62,JE-2022-00023,3,2100,CC200,2022-01-14,Output VAT SI-2022-00023,0.0,650.27
63,JE-2022-00024,1,1200,CC220,2022-01-06,Sales invoice SI-2022-00024,10120.87,0.0
64,JE-2022-00024,2,4010,CC220,2022-01-06,Sales invoice SI-2022-00024,0.0,10120.87
65,JE-2022-00025,1,1200,CC200,2022-01-04,Sales invoice SI-2022-00025,4017.97,0.0
66,JE-2022-00025,2,4000,CC200,2022-01-04,Sales invoice SI-2022-00025,0.0,3348.31
67,JE-2022-00025,3,2100,CC200,2022-01-04,Output VAT SI-2022-00025,0.0,669.66
68,JE-2022-00026,1,1200,CC220,2022-01-03,Sales invoice SI-2022-00026,7812.12,0.0
69,JE-2022-00026,2,4010,CC220,2022-01-03,Sales invoice SI-2022-00026,0.0,7812.12
70,JE-2022-00027,1,1200,CC200,2022-01-07,Sales invoice SI-2022-00027,9047.65,0.0
71,JE-2022-00027,2,4000,CC200,2022-01-07,Sales invoice SI-2022-00027,0.0,7539.71
72,JE-2022-00027,3,2100,CC200,2022-01-07,Output VAT SI-2022-00027,0.0,1507.94
