invoice_id,invoice_type,customer_id,supplier_id,invoice_date,due_date,currency,net_amount,tax_amount,gross_amount,gross_amount_gbp,cost_centre_code,status
SI-2022-00001,SALES,C2053,,2022-01-14,2022-02-13,GBP,6362.36,1272.47,7634.83,7634.83,CC200,PAID
SI-2022-00002,SALES,C2043,,05/01/2022,2022-02-04,EUR,2621.23,0.0,2621.23,2194.98,CC220,Paid
SI-2022-00003,SALES,C2026,,03-Jan-2022,2022-02-02,GBP,8062.43,1612.49,9674.92,9674.92,CC210,paid
SI-2022-00004,SALES,C2035,,2022-01-21,2022-02-20,GBP,4865.35,973.07,5838.42,5838.42,CC200,PAID 
SI-2022-00005,SALES,C2031,,03/01/2022,2022-03-04,GBP,24789.49,4957.9,29747.39,29747.39,CC210,PAID
SI-2022-00006,SALES,C2026,,07-Jan-2022,2022-02-06,GBP,4203.59,840.72,5044.31,5044.31,CC210,Paid
SI-2022-00007,SALES,C2027,,2022-01-07,2022-01-21,EUR,5070.5,0.0,5070.5,4242.02,CC220,paid
SI-2022-00008,SALES,C2049,,21/01/2022,2022-02-04,GBP,3522.16,704.43,4226.59,4226.59,CC200,PAID 
SI-2022-00009,SALES,C2017,,06-Jan-2022,2022-02-20,EUR,7862.84,0.0,7862.84,6595.92,CC220,PAID
SI-2022-00010,SALES,C2049,,2022-01-03,2022-01-17,GBP,4540.11,908.02,5448.13,5448.13,CC200,Paid
SI-2022-00011,SALES,C2017,,21/01/2022,2022-03-07,EUR,15162.42,0.0,15162.42,12617.35,CC220,paid
SI-2022-00012,SALES,C2010,,18-Jan-2022,2022-02-17,GBP,5956.75,1191.35,7148.1,7148.1,CC200,PAID 
SI-2022-00013,SALES,C2059,,2022-01-12,2022-02-11,EUR,7430.0,0.0,7430.0,6184.44,CC220,PAID
SI-2022-00014,SALES,C2022,,28/01/2022,2022-02-27,GBP,20237.03,4047.41,24284.44,24284.44,CC210,Paid
SI-2022-00015,SALES,C2052,,28-Jan-2022,2022-02-27,EUR,10761.75,0.0,10761.75,8979.87,CC220,paid
SI-2022-00016,SALES,C2015,,2022-01-24,2022-03-25,GBP,12539.86,2507.97,15047.83,15047.83,CC210,PAID 
SI-2022-00017,SALES,C2044,,03/01/2022,2022-03-04,GBP,3533.75,706.75,4240.5,4240.5,CC200,PAID
SI-2022-00018,SALES,C2024,,14-Jan-2022,2022-02-13,GBP,15910.29,3182.06,19092.35,19092.35,CC210,Paid
SI-2022-00019,SALES,C2055,,2022-01-07,2022-04-07,GBP,26672.57,5334.51,32007.08,32007.08,CC200,paid
SI-2022-00020,SALES,C2019,,21/01/2022,2022-04-21,EUR,5829.62,0.0,5829.62,4851.09,CC220,PAID 
SI-2022-00021,SALES,C2013,,07-Jan-2022,2022-02-21,GBP,7437.63,1487.53,8925.16,8925.16,CC200,PAID
SI-2022-00022,SALES,C2009,,2022-01-06,2022-04-06,GBP,15891.61,3178.32,19069.93,19069.93,CC200,Paid
SI-2022-00023,SALES,C2045,,14/01/2022,2022-02-28,GBP,3251.34,650.27,3901.61,3901.61,CC200,paid
SI-2022-00024,SALES,C2039,,06-Jan-2022,2022-01-20,EUR,12064.86,0.0,12064.86,10120.87,CC220,PAID 
SI-2022-00025,SALES,C2046,,2022-01-04,2022-03-05,GBP,3348.31,669.66,4017.97,4017.97,CC200,PAID
SI-2022-00026,SALES,C2050,,03/01/2022,2022-02-02,USD,10048.38,0.0,10048.38,7812.12,CC220,Paid
SI-2022-00027,SALES,C2049,,07-Jan-2022,2022-01-21,GBP,7539.71,1507.94,9047.65,9047.65,CC200,paid
SI-2022-00028,SALES,C2002,,2022-01-20,2022-03-21,EUR,7455.96,0.0,7455.96,6176.85,CC220,PAID 
SI-2022-00029,SALES,C2023,,21/01/2022,2022-02-20,GBP,9994.28,1998.86,11993.14,11993.14,CC200,PAID
SI-2022-00030,SALES,C2045,,04-Jan-2022,2022-02-18,GBP,4165.1,833.02,4998.12,4998.12,CC200,Paid
SI-2022-00031,SALES,C2000,,2022-01-12,2022-02-26,GBP,13427.59,2685.52,16113.11,16113.11,CC200,paid
SI-2022-00032,SALES,C2022,,07/01/2022,2022-02-06,GBP,23730.66,4746.13,28476.79,28476.79,CC210,PAID 
SI-2022-00033,SALES,C2061,,17-Jan-2022,2022-02-16,GBP,11674.88,2334.98,14009.86,14009.86,CC210,PAID
SI-2022-00034,SALES,C2040,,2022-01-14,2022-02-13,GBP,4366.57,873.31,5239.88,5239.88,CC200,Paid
SI-2022-00035,SALES,C2053,,07/01/2022,2022-02-06,GBP,35230.32,7046.06,42276.38,42276.38,CC200,paid
SI-2022-00036,SALES,C2019,,18-Jan-2022,2022-04-18,EUR,10020.21,0.0,10020.21,8318.67,CC220,PAID 
SI-2022-00037,SALES,C2048,,2022-01-31,2022-02-14,GBP,13106.77,2621.35,15728.12,15728.12,CC200,PAID
SI-2022-00038,SALES,C2018,,14/01/2022,2022-02-28,EUR,5302.09,0.0,5302.09,4434.33,CC220,Paid
SI-2022-00039,SALES,C2050,,28-Jan-2022,2022-02-27,USD,3571.16,0.0,3571.16,2877.04,CC220,paid
SI-2022-00040,SALES,C2012,,2022-01-12,2022-03-13,EUR,11286.43,0.0,11286.43,9394.38,CC220,PAID 
SI-2022-00041,SALES,C2052,,19/01/2022,2022-02-18,EUR,11825.12,0.0,11825.12,9818.98,CC220,PAID
SI-2022-00042,SALES,C2020,,21-Jan-2022,2022-03-07,GBP,4743.36,948.67,5692.03,5692.03,CC210,Paid
SI-2022-00043,SALES,C2048,,2022-01-04,2022-01-18,GBP,4024.02,804.8,4828.82,4828.82,CC200,paid
SI-2022-00044,SALES,C2027,,14/01/2022,2022-01-28,EUR,6520.76,0.0,6520.76,5453.55,CC220,PAID 
PI-2022-00001,PURCHASE,,S3004,24-Jan-2022,2022-02-23,GBP,1480.33,296.07,1776.4,1776.4,CC100,PAID
PI-2022-00002,PURCHASE,,S3020,2022-01-03,2022-02-02,USD,706.8,0.0,706.8,549.5,CC600,Paid
PI-2022-00003,PURCHASE,,S3002,28/01/2022,2022-03-29,EUR,3168.62,0.0,3168.62,2643.98,CC220,paid
PI-2022-00004,PURCHASE,,S3037,03-Jan-2022,2022-02-02,USD,2573.2,0.0,2573.2,2000.54,CC600,PAID 
PI-2022-00005,PURCHASE,,S3034,2022-01-27,2022-02-26,GBP,1682.25,336.45,2018.7,2018.7,CC500,PAID
PI-2022-00006,PURCHASE,,S3029,24/01/2022,2022-02-23,EUR,752.75,0.0,752.75,625.03,CC300,Paid
PI-2022-00007,PURCHASE,,S3005,21-Jan-2022,2022-03-07,GBP,11959.36,2391.87,14351.23,14351.23,CC300,paid
PI-2022-00008,PURCHASE,,S3016,2022-01-24,2022-02-07,EUR,1385.86,0.0,1385.86,1150.72,CC600,PAID 
PI-2022-00009,PURCHASE,,S3029,04/01/2022,2022-02-03,EUR,2302.37,0.0,2302.37,1927.77,CC100,PAID
PI-2022-00010,PURCHASE,,S3001,06-Jan-2022,2022-02-05,GBP,4174.96,834.99,5009.95,5009.95,CC100,Paid
PI-2022-00011,PURCHASE,,S3011,2022-01-21,2022-03-22,EUR,37704.13,0.0,37704.13,31375.34,CC400,paid
PI-2022-00012,PURCHASE,,S3029,06/01/2022,2022-02-05,EUR,3699.88,0.0,3699.88,3103.73,CC300,PAID 
PI-2022-00013,PURCHASE,,S3038,28-Jan-2022,2022-02-27,GBP,680.25,136.05,816.3,816.3,CC400,PAID
PI-2022-00014,PURCHASE,,S3013,2022-01-07,2022-01-21,GBP,8527.57,1705.51,10233.08,10233.08,CC400,Paid
PI-2022-00015,PURCHASE,,S3039,31/01/2022,2022-03-02,GBP,1736.26,347.25,2083.51,2083.51,CC600,paid
PI-2022-00016,PURCHASE,,S3007,14-Jan-2022,2022-02-13,EUR,2625.18,0.0,2625.18,2195.54,CC100,PAID 
PI-2022-00017,PURCHASE,,S3023,2022-01-31,2022-03-02,USD,654.53,0.0,654.53,532.65,CC600,PAID
PI-2022-00018,PURCHASE,,S3017,07/01/2022,2022-02-21,GBP,16500.0,3300.0,19800.0,19800.0,CC400,Paid
PI-2022-00019,PURCHASE,,S3008,12-Jan-2022,2022-03-13,GBP,10133.97,2026.79,12160.76,12160.76,CC400,paid
PI-2022-00020,PURCHASE,,S3043,2022-01-18,2022-02-01,EUR,35403.37,0.0,35403.37,29391.49,CC400,PAID 
PI-2022-00021,PURCHASE,,S3029,04/01/2022,2022-02-03,EUR,10738.5,0.0,10738.5,8991.32,CC300,PAID
PI-2022-00022,PURCHASE,,S3043,25-Jan-2022,2022-02-08,EUR,25628.48,0.0,25628.48,21343.65,CC400,Paid
PI-2022-00023,PURCHASE,,S3040,2022-01-31,2022-02-14,EUR,2211.25,0.0,2211.25,1838.19,CC400,paid
PI-2022-00024,PURCHASE,,S3026,18/01/2022,2022-02-17,GBP,1438.14,287.63,1725.77,1725.77,CC100,PAID 
PI-2022-00025,PURCHASE,,S3037,21-Jan-2022,2022-02-20,USD,2332.85,0.0,2332.85,1842.68,CC400,PAID
PI-2022-00026,PURCHASE,,S3011,2022-01-03,2022-03-04,EUR,855.51,0.0,855.51,717.03,CC100,Paid
PI-2022-00027,PURCHASE,,S3011,28/01/2022,2022-03-29,EUR,7867.72,0.0,7867.72,6565.02,CC400,paid
PI-2022-00028,PURCHASE,,S3001,28-Jan-2022,2022-02-27,GBP,4212.31,842.46,5054.77,5054.77,CC400,PAID 
PI-2022-00029,PURCHASE,,S3040,2022-01-12,2022-01-26,EUR,10851.2,0.0,10851.2,9032.12,CC400,PAID
PI-2022-00030,PURCHASE,,S3000,05/01/2022,2022-02-04,GBP,25034.77,5006.95,30041.72,30041.72,CC300,Paid
PI-2022-00031,PURCHASE,,S3006,14-Jan-2022,2022-02-13,EUR,5974.44,0.0,5974.44,4996.65,CC300,paid
PI-2022-00032,PURCHASE,,S3014,2022-01-14,2022-01-28,GBP,1937.03,387.41,2324.44,2324.44,CC400,PAID 
PI-2022-00033,PURCHASE,,S3004,18/01/2022,2022-02-17,GBP,4704.0,940.8,5644.8,5644.8,CC400,PAID
PI-2022-00034,PURCHASE,,S3015,11-Jan-2022,2022-02-10,EUR,912.4,0.0,912.4,758.49,CC210,Paid
PI-2022-00035,PURCHASE,,S3031,2022-01-04,2022-03-05,GBP,7669.24,1533.85,9203.09,9203.09,CC400,paid
SI-2022-00045,SALES,C2029,,04/02/2022,2022-05-05,EUR,2243.8,0.0,2243.8,1860.52,CC220,PAID 
SI-2022-00046,SALES,C2052,,07-Feb-2022,2022-03-09,EUR,4143.71,0.0,4143.71,3413.92,CC220,PAID
SI-2022-00047,SALES,C2008,,2022-02-16,2022-04-17,EUR,2747.07,0.0,2747.07,2266.33,CC220,Paid
SI-2022-00048,SALES,C2013,,24/02/2022,2022-04-10,GBP,24510.29,4902.06,29412.35,29412.35,CC200,paid
SI-2022-00049,SALES,C2014,,11-Feb-2022,2022-04-12,EUR,8684.77,0.0,8684.77,7196.51,CC220,PAID 
SI-2022-00050,SALES,C2057,,2022-02-21,2022-05-22,USD,2515.26,0.0,2515.26,1980.87,CC220,PAID
SI-2022-00051,SALES,C2016,,22/02/2022,2022-03-24,GBP,5060.5,1012.1,6072.6,6072.6,CC200,Paid
SI-2022-00052,SALES,C2002,,02-Feb-2022,2022-04-03,EUR,4409.63,0.0,4409.63,3662.68,CC220,paid
SI-2022-00053,SALES,C2024,,2022-02-15,2022-03-17,GBP,31764.47,6352.89,38117.36,38117.36,CC210,PAID 
SI-2022-00054,SALES,C2018,,18/02/2022,2022-04-04,EUR,1056.5,0.0,1056.5,872.78,CC220,PAID
SI-2022-00055,SALES,C2000,,18-Feb-2022,2022-04-04,GBP,5794.37,1158.87,6953.24,6953.24,CC200,Paid
SI-2022-00056,SALES,C2028,,2022-02-10,2022-02-24,GBP,4556.47,911.29,5467.76,5467.76,CC200,paid
SI-2022-00057,SALES,C2059,,02/02/2022,2022-03-04,EUR,29632.09,0.0,29632.09,24612.71,CC220,PAID 
SI-2022-00058,SALES,C2017,,04-Feb-2022,2022-03-21,EUR,11073.54,0.0,11073.54,9181.97,CC220,PAID
SI-2022-00059,SALES,C2007,,2022-02-22,2022-03-24,GBP,5690.36,1138.07,6828.43,6828.43,CC200,Paid
SI-2022-00060,SALES,C2010,,14/02/2022,2022-03-16,GBP,15946.6,3189.32,19135.92,19135.92,CC200,paid
SI-2022-00061,SALES,C2025,,14-Feb-2022,2022-05-15,USD,11038.77,0.0,11038.77,8741.51,CC220,PAID 
SI-2022-00062,SALES,C2001,,2022-02-18,2022-03-20,USD,3716.07,0.0,3716.07,2928.17,CC220,PAID
SI-2022-00063,SALES,C2001,,07/02/2022,2022-03-09,USD,3559.44,0.0,3559.44,2815.26,CC220,Paid
SI-2022-00064,SALES,C2042,,28-Feb-2022,2022-04-29,GBP,3817.41,763.48,4580.89,4580.89,CC210,paid
SI-2022-00065,SALES,C2042,,2022-02-28,2022-04-29,GBP,8459.28,1691.86,10151.14,10151.14,CC210,PAID 
SI-2022-00066,SALES,C2019,,18/02/2022,2022-05-19,EUR,3788.62,0.0,3788.62,3129.81,CC220,PAID
SI-2022-00067,SALES,C2037,,25-Feb-2022,2022-03-27,USD,23397.5,0.0,23397.5,18414.25,CC220,Paid
SI-2022-00068,SALES,C2026,,2022-02-25,2022-03-27,GBP,6265.95,1253.19,7519.14,7519.14,CC210,paid
SI-2022-00069,SALES,C2061,,14/02/2022,2022-03-16,GBP,3567.02,713.4,4280.42,4280.42,CC210,PAID 
SI-2022-00070,SALES,C2013,,25-Feb-2022,2022-04-11,GBP,2874.58,574.92,3449.5,3449.5,CC200,PAID
SI-2022-00071,SALES,C2055,,2022-02-02,2022-05-03,GBP,8907.5,1781.5,10689.0,10689.0,CC200,Paid
SI-2022-00072,SALES,C2058,,11/02/2022,2022-05-12,EUR,7493.01,0.0,7493.01,6208.98,CC220,paid
SI-2022-00073,SALES,C2053,,10-Feb-2022,2022-03-12,GBP,11740.81,2348.16,14088.97,14088.97,CC200,PAID 
SI-2022-00074,SALES,C2029,,2022-02-14,2022-05-15,EUR,6466.09,0.0,6466.09,5352.72,CC220,PAID
SI-2022-00075,SALES,C2032,,18/02/2022,2022-03-20,GBP,11868.98,2373.8,14242.78,14242.78,CC200,Paid
SI-2022-00076,SALES,C2037,,04-Feb-2022,2022-03-06,USD,2985.22,0.0,2985.22,2386.48,CC220,paid
SI-2022-00077,SALES,C2023,,2022-02-22,2022-03-24,GBP,2795.83,559.17,3355.0,3355.0,CC200,PAID 
SI-2022-00078,SALES,C2016,,15/02/2022,2022-03-17,GBP,3744.02,748.8,4492.82,4492.82,CC200,PAID
SI-2022-00079,SALES,C2037,,01-Feb-2022,2022-03-03,USD,6217.47,0.0,6217.47,5058.94,CC220,Paid
SI-2022-00080,SALES,C2006,,2022-02-01,2022-03-03,GBP,2993.86,598.77,3592.63,3592.63,CC200,paid
SI-2022-00081,SALES,C2052,,04/02/2022,2022-03-06,EUR,9583.87,0.0,9583.87,7946.76,CC220,PAID 
SI-2022-00082,SALES,C2028,,03-Feb-2022,2022-02-17,GBP,4506.95,901.39,5408.34,5408.34,CC200,PAID
SI-2022-00083,SALES,C2019,,2022-02-24,2022-05-25,EUR,5524.45,0.0,5524.45,4546.01,CC220,Paid
SI-2022-00084,SALES,C2061,,11/02/2022,2022-03-13,GBP,3511.42,702.28,4213.7,4213.7,CC210,paid
SI-2022-00085,SALES,C2042,,22-Feb-2022,2022-04-23,GBP,4658.05,931.61,5589.66,5589.66,CC210,PAID 
SI-2022-00086,SALES,C2061,,2022-02-17,2022-03-19,GBP,2095.31,419.06,2514.37,2514.37,CC210,PAID
SI-2022-00087,SALES,C2047,,15/02/2022,2022-03-01,GBP,8229.36,1645.87,9875.23,9875.23,CC200,Paid
SI-2022-00088,SALES,C2005,,04-Feb-2022,2022-03-06,EUR,4810.97,0.0,4810.97,3989.16,CC220,paid
SI-2022-00089,SALES,C2032,,2022-02-11,2022-03-13,GBP,12515.45,2503.09,15018.54,15018.54,CC200,PAID 
SI-2022-00090,SALES,C2042,,15/02/2022,2022-04-16,GBP,1145.8,229.16,1374.96,1374.96,CC210,PAID
PI-2022-00036,PURCHASE,,S3016,25-Feb-2022,2022-03-11,EUR,395.81,0.0,395.81,325.07,CC600,Paid
PI-2022-00037,PURCHASE,,S3004,2022-02-25,2022-03-27,GBP,2818.88,563.78,3382.66,3382.66,CC600,paid
PI-2022-00038,PURCHASE,,S3013,21/02/2022,2022-03-07,GBP,1467.78,293.56,1761.34,1761.34,CC300,PAID 
PI-2022-00039,PURCHASE,,S3032,04-Feb-2022,2022-02-18,EUR,5911.55,0.0,5911.55,4901.74,CC400,PAID
PI-2022-00040,PURCHASE,,S3016,2022-02-18,2022-03-04,EUR,19260.76,0.0,19260.76,15911.45,CC400,Paid
PI-2022-00041,PURCHASE,,S3000,02/02/2022,2022-03-04,GBP,2622.83,524.57,3147.4,3147.4,CC220,paid
PI-2022-00042,PURCHASE,,S3010,11-Feb-2022,2022-03-13,GBP,997.98,199.6,1197.58,1197.58,CC500,PAID 
PI-2022-00043,PURCHASE,,S3029,2022-02-15,2022-03-17,EUR,26483.58,0.0,26483.58,21841.56,CC400,PAID
PI-2022-00044,PURCHASE,,S3000,21/02/2022,2022-03-23,GBP,1121.09,224.22,1345.31,1345.31,CC100,Paid
PI-2022-00045,PURCHASE,,S3014,11-Feb-2022,2022-02-25,GBP,1943.23,388.65,2331.88,2331.88,CC100,paid
PI-2022-00046,PURCHASE,,S3011,2022-02-28,2022-04-29,EUR,4087.71,0.0,4087.71,3403.17,CC300,PAID 
PI-2022-00047,PURCHASE,,S3020,25/02/2022,2022-03-27,USD,1254.89,0.0,1254.89,987.62,CC300,PAID
PI-2022-00048,PURCHASE,,S3013,08-Feb-2022,2022-02-22,GBP,17646.17,3529.23,21175.4,21175.4,CC400,Paid
PI-2022-00049,PURCHASE,,S3036,2022-02-04,2022-04-05,GBP,6430.51,1286.1,7716.61,7716.61,CC400,paid
PI-2022-00050,PURCHASE,,S3035,28/02/2022,2022-03-14,EUR,21505.48,0.0,21505.48,17904.13,CC300,PAID 
PI-2022-00051,PURCHASE,,S3035,10-Feb-2022,2022-02-24,EUR,6779.38,0.0,6779.38,5594.79,CC400,PAID
PI-2022-00052,PURCHASE,,S3014,2022-02-01,2022-02-15,GBP,670.28,134.06,804.34,804.34,CC400,Paid
PI-2022-00053,PURCHASE,,S3023,24/02/2022,2022-03-26,USD,468.46,0.0,468.46,367.93,CC500,paid
PI-2022-00054,PURCHASE,,S3008,09-Feb-2022,2022-04-10,GBP,2367.96,473.59,2841.55,2841.55,CC100,PAID 
PI-2022-00055,PURCHASE,,S3033,2022-02-25,2022-04-26,GBP,1494.73,298.95,1793.68,1793.68,CC400,PAID
PI-2022-00056,PURCHASE,,S3031,04/02/2022,2022-04-05,GBP,6846.7,1369.34,8216.04,8216.04,CC300,Paid
PI-2022-00057,PURCHASE,,S3005,25-Feb-2022,2022-04-11,GBP,4317.16,863.43,5180.59,5180.59,CC100,paid
PI-2022-00058,PURCHASE,,S3026,2022-02-25,2022-03-27,GBP,5994.83,1198.97,7193.8,7193.8,CC400,PAID 
PI-2022-00059,PURCHASE,,S3018,03/02/2022,2022-03-05,USD,2142.12,0.0,2142.12,1719.03,CC400,PAID
PI-2022-00060,PURCHASE,,S3000,22-Feb-2022,2022-03-24,GBP,4777.54,955.51,5733.05,5733.05,CC100,Paid
PI-2022-00061,PURCHASE,,S3019,2022-02-11,2022-03-13,EUR,9821.95,0.0,9821.95,8138.82,CC400,paid
PI-2022-00062,PURCHASE,,S3019,18/02/2022,2022-03-20,EUR,607.05,0.0,607.05,501.49,CC100,PAID 
PI-2022-00063,PURCHASE,,S3020,01-Feb-2022,2022-03-03,USD,885.42,0.0,885.42,720.44,CC210,PAID
PI-2022-00064,PURCHASE,,S3002,2022-02-22,2022-04-23,EUR,827.94,0.0,827.94,685.82,CC300,Paid
PI-2022-00065,PURCHASE,,S3035,04/02/2022,2022-02-18,EUR,1008.27,0.0,1008.27,836.04,CC220,paid
PI-2022-00066,PURCHASE,,S3026,22-Feb-2022,2022-03-24,GBP,40566.21,8113.24,48679.45,48679.45,CC300,PAID 
PI-2022-00067,PURCHASE,,S3045,2022-02-01,2022-03-18,GBP,2867.54,573.51,3441.05,3441.05,CC220,PAID
PI-2022-00068,PURCHASE,,S3031,25/02/2022,2022-04-26,GBP,3336.09,667.22,4003.31,4003.31,CC220,Paid
PI-2022-00069,PURCHASE,,S3039,18-Feb-2022,2022-03-20,GBP,3576.32,715.26,4291.58,4291.58,CC100,paid
SI-2022-00091,SALES,C2027,,2022-03-18,2022-04-01,EUR,18524.56,0.0,18524.56,15635.93,CC220,PAID 
SI-2022-00092,SALES,C2010,,03/03/2022,2022-04-02,GBP,10351.0,2070.2,12421.2,12421.2,CC200,PAID
SI-2022-00093,SALES,C2057,,18-Mar-2022,2022-06-16,USD,7485.98,0.0,7485.98,5819.07,CC220,Paid
SI-2022-00094,SALES,C2016,,2022-03-16,2022-04-15,GBP,5537.7,1107.54,6645.24,6645.24,CC200,paid
SI-2022-00095,SALES,C2046,,09/03/2022,2022-05-08,GBP,4477.63,895.53,5373.16,5373.16,CC200,PAID 
SI-2022-00096,SALES,C2053,,02-Mar-2022,2022-04-01,GBP,4881.03,976.21,5857.24,5857.24,CC200,PAID
SI-2022-00097,SALES,C2040,,2022-03-07,2022-04-06,GBP,39088.31,7817.66,46905.97,46905.97,CC200,Paid
SI-2022-00098,SALES,C2000,,23/03/2022,2022-05-07,GBP,7220.26,1444.05,8664.31,8664.31,CC200,paid
SI-2022-00099,SALES,C2035,,16-Mar-2022,2022-04-15,GBP,19306.23,3861.25,23167.48,23167.48,CC200,PAID 
SI-2022-00100,SALES,C2055,,2022-03-11,2022-06-09,GBP,17001.76,3400.35,20402.11,20402.11,CC200,PAID
SI-2022-00101,SALES,C2006,,21/03/2022,2022-04-20,GBP,20938.63,4187.73,25126.36,25126.36,CC200,Paid
SI-2022-00102,SALES,C2006,,31-Mar-2022,2022-04-30,GBP,16255.03,3251.01,19506.04,19506.04,CC200,paid
SI-2022-00103,SALES,C2044,,2022-03-25,2022-05-24,GBP,8742.65,1748.53,10491.18,10491.18,CC200,PAID 
SI-2022-00104,SALES,C2000,,11/03/2022,2022-04-25,GBP,7626.25,1525.25,9151.5,9151.5,CC200,PAID
