journal_id,journal_date,posted_date,period,fiscal_year,fiscal_period,source,description,prepared_by,approved_by,status
JE-2022-00001,2022-01-14,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00001,1072,1071,POSTED
JE-2022-00002,2022-01-05,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00002,1072,1071,POSTED
JE-2022-00003,2022-01-03,2022-01-06,2022-01,FY2022,10,AR,Sales invoice SI-2022-00003,1072,1071,POSTED
JE-2022-00004,2022-01-21,2022-01-21,2022-01,FY2022,10,AR,Sales invoice SI-2022-00004,1072,1071,POSTED
JE-2022-00005,2022-01-03,2022-01-05,2022-01,FY2022,10,AR,Sales invoice SI-2022-00005,1072,1071,POSTED
JE-2022-00006,2022-01-07,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00006,1072,1071,POSTED
JE-2022-00007,2022-01-07,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00007,1072,1071,POSTED
JE-2022-00008,2022-01-21,2022-01-24,2022-01,FY2022,10,AR,Sales invoice SI-2022-00008,1072,1071,POSTED
JE-2022-00009,2022-01-06,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00009,1072,1071,POSTED
JE-2022-00010,2022-01-03,2022-01-06,2022-01,FY2022,10,AR,Sales invoice SI-2022-00010,1072,1071,POSTED
JE-2022-00011,2022-01-21,2022-01-24,2022-01,FY2022,10,AR,Sales invoice SI-2022-00011,1072,1071,POSTED
JE-2022-00012,2022-01-18,2022-01-20,2022-01,FY2022,10,AR,Sales invoice SI-2022-00012,1072,1071,POSTED
JE-2022-00013,2022-01-12,2022-01-13,2022-01,FY2022,10,AR,Sales invoice SI-2022-00013,1072,1071,POSTED
JE-2022-00014,2022-01-28,2022-01-31,2022-01,FY2022,10,AR,Sales invoice SI-2022-00014,1072,1071,POSTED
JE-2022-00015,2022-01-28,2022-01-28,2022-01,FY2022,10,AR,Sales invoice SI-2022-00015,1072,1071,POSTED
JE-2022-00016,2022-01-24,2022-01-24,2022-01,FY2022,10,AR,Sales invoice SI-2022-00016,1072,1071,POSTED
JE-2022-00017,2022-01-03,2022-01-03,2022-01,FY2022,10,AR,Sales invoice SI-2022-00017,1072,1071,POSTED
JE-2022-00018,2022-01-14,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00018,1072,1071,POSTED
JE-2022-00019,2022-01-07,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00019,1072,1071,POSTED
JE-2022-00020,2022-01-21,2022-01-21,2022-01,FY2022,10,AR,Sales invoice SI-2022-00020,1072,1071,POSTED
JE-2022-00021,2022-01-07,2022-01-10,2022-01,FY2022,10,AR,Sales invoice SI-2022-00021,1072,1071,POSTED
JE-2022-00022,2022-01-06,2022-01-06,2022-01,FY2022,10,AR,Sales invoice SI-2022-00022,1072,1071,POSTED
JE-2022-00023,2022-01-14,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00023,1072,1071,POSTED
JE-2022-00024,2022-01-06,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00024,1072,1071,POSTED
JE-2022-00025,2022-01-04,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00025,1072,1071,POSTED
JE-2022-00026,2022-01-03,2022-01-05,2022-01,FY2022,10,AR,Sales invoice SI-2022-00026,1072,1071,POSTED
JE-2022-00027,2022-01-07,2022-01-10,2022-01,FY2022,10,AR,Sales invoice SI-2022-00027,1072,1071,POSTED
JE-2022-00028,2022-01-20,2022-01-21,2022-01,FY2022,10,AR,Sales invoice SI-2022-00028,1072,1071,POSTED
JE-2022-00029,2022-01-21,2022-01-21,2022-01,FY2022,10,AR,Sales invoice SI-2022-00029,1072,1071,POSTED
JE-2022-00030,2022-01-04,2022-01-04,2022-01,FY2022,10,AR,Sales invoice SI-2022-00030,1072,1071,POSTED
JE-2022-00031,2022-01-12,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00031,1072,1071,POSTED
JE-2022-00032,2022-01-07,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00032,1072,1071,POSTED
JE-2022-00033,2022-01-17,2022-01-19,2022-01,FY2022,10,AR,Sales invoice SI-2022-00033,1072,1071,POSTED
JE-2022-00034,2022-01-14,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00034,1072,1071,POSTED
JE-2022-00035,2022-01-07,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00035,1072,1071,POSTED
JE-2022-00036,2022-01-18,2022-01-20,2022-01,FY2022,10,AR,Sales invoice SI-2022-00036,1072,1071,POSTED
JE-2022-00037,2022-01-31,2022-01-31,2022-01,FY2022,10,AR,Sales invoice SI-2022-00037,1072,1071,POSTED
JE-2022-00038,2022-01-14,2022-01-14,2022-01,FY2022,10,AR,Sales invoice SI-2022-00038,1072,1071,POSTED
JE-2022-00039,2022-01-28,2022-01-31,2022-01,FY2022,10,AR,Sales invoice SI-2022-00039,1072,1071,POSTED
JE-2022-00040,2022-01-12,2022-01-12,2022-01,FY2022,10,AR,Sales invoice SI-2022-00040,1072,1071,POSTED
JE-2022-00041,2022-01-19,2022-01-21,2022-01,FY2022,10,AR,Sales invoice SI-2022-00041,1072,1071,POSTED
JE-2022-00042,2022-01-21,2022-01-24,2022-01,FY2022,10,AR,Sales invoice SI-2022-00042,1072,1071,POSTED
JE-2022-00043,2022-01-04,2022-01-07,2022-01,FY2022,10,AR,Sales invoice SI-2022-00043,1072,1071,POSTED
JE-2022-00044,2022-01-14,2022-01-17,2022-01,FY2022,10,AR,Sales invoice SI-2022-00044,1072,1071,POSTED
JE-2022-00045,2022-01-24,2022-01-27,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00001,1072,1071,POSTED
JE-2022-00046,2022-01-03,2022-01-05,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00002,1072,1071,POSTED
JE-2022-00047,2022-01-28,2022-01-28,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00003,1072,1071,POSTED
JE-2022-00048,2022-01-03,2022-01-05,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00004,1072,1071,POSTED
JE-2022-00049,2022-01-27,2022-01-28,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00005,1072,1071,POSTED
JE-2022-00050,2022-01-24,2022-01-25,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00006,1072,1071,POSTED
JE-2022-00051,2022-01-21,2022-01-21,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00007,1072,1071,POSTED
JE-2022-00052,2022-01-24,2022-01-26,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00008,1072,1071,POSTED
JE-2022-00053,2022-01-04,2022-01-05,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00009,1072,1071,POSTED
JE-2022-00054,2022-01-06,2022-01-07,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00010,1072,1071,POSTED
JE-2022-00055,2022-01-21,2022-01-21,2022-01,FY2022,10,AP,Purchase invoice PI-2022-00011,1072,1071,POSTED
