payment_id,invoice_id,direction,payment_date,currency,amount,amount_gbp,method,bank_reference
RCP-2022-00001,SI-2022-00010,RECEIPT,2022-01-31,GBP,5448.13,5448.13,BACS,BNK533308
RCP-2022-00002,SI-2022-00024,RECEIPT,2022-01-25,EUR,12064.86,10047.74,CARD,BNK163810
RCP-2022-00003,SI-2022-00027,RECEIPT,2022-01-18,GBP,9047.65,9047.65,BACS,BNK229560
RCP-2022-00004,SI-2022-00044,RECEIPT,2022-01-28,EUR,6520.76,5441.09,CARD,BNK425084
PAY-2022-00005,PI-2022-00004,PAYMENT,2022-01-31,USD,2573.2,2094.05,CHEQUE,BNK551301
PAY-2022-00006,PI-2022-00014,PAYMENT,2022-01-19,GBP,10233.08,10233.08,bacs,BNK708446
PAY-2022-00007,PI-2022-00029,PAYMENT,2022-01-28,EUR,10851.2,9054.51,DD,BNK398830
RCP-2022-00008,SI-2022-00001,RECEIPT,2022-02-22,GBP,7634.83,7634.83,BACS,BNK948175
RCP-2022-00009,SI-2022-00003,RECEIPT,2022-02-11,GBP,9674.92,9674.92,BACS,BNK757817
RCP-2022-00010,SI-2022-00006,RECEIPT,2022-02-28,GBP,5044.31,5044.31,CHEQUE,BNK892472
RCP-2022-00011,SI-2022-00007,RECEIPT,2022-02-25,EUR,5070.5,4164.25,BACS,BNK573941
RCP-2022-00012,SI-2022-00026,RECEIPT,2022-01-28,USD,10048.38,8095.3,CARD,BNK372460
RCP-2022-00013,SI-2022-00030,RECEIPT,2022-02-25,GBP,4998.12,4998.12,BACS,BNK853581
RCP-2022-00014,SI-2022-00033,RECEIPT,2022-02-21,GBP,14009.86,14009.86,BACS,BNK921111
RCP-2022-00015,SI-2022-00034,RECEIPT,2022-02-22,GBP,5239.88,5239.88,CARD,BNK767500
RCP-2022-00016,SI-2022-00035,RECEIPT,2022-02-03,GBP,42276.38,42276.38,BACS,BNK318901
RCP-2022-00017,SI-2022-00037,RECEIPT,2022-02-18,GBP,15728.12,15728.12,BACS,BNK895230
RCP-2022-00018,SI-2022-00041,RECEIPT,2022-02-25,EUR,11825.12,9711.62,CARD,BNK377887
RCP-2022-00019,SI-2022-00043,RECEIPT,2022-01-27,GBP,4828.82,4828.82,CHEQUE,BNK335397
RCP-2022-00020,SI-2022-00056,RECEIPT,2022-02-24,GBP,5467.76,5467.76,CARD,BNK573401
RCP-2022-00021,SI-2022-00082,RECEIPT,2022-02-18,GBP,5408.34,5408.34,BACS,BNK853700
PAY-2022-00022,PI-2022-00001,PAYMENT,2022-02-21,GBP,1776.4,1776.4,BACS,BNK541544
PAY-2022-00023,PI-2022-00002,PAYMENT,2022-01-31,USD,706.8,575.19,BACS,BNK695671
PAY-2022-00024,PI-2022-00005,PAYMENT,2022-02-24,GBP,2018.7,2018.7,DD,BNK211922
PAY-2022-00025,PI-2022-00006,PAYMENT,2022-02-21,EUR,752.75,624.46,BACS,BNK492842
PAY-2022-00026,PI-2022-00008,PAYMENT,2022-02-07,EUR,1385.86,1141.78,CHEQUE,BNK903324
PAY-2022-00027,PI-2022-00009,PAYMENT,2022-02-03,EUR,2302.37,1919.51,BACS,BNK862061
PAY-2022-00028,PI-2022-00010,PAYMENT,2022-02-03,GBP,5009.95,5009.95,CHEQUE,BNK835917
PAY-2022-00029,PI-2022-00012,PAYMENT,2022-02-11,EUR,3699.88,3065.85,cheque,BNK234448
PAY-2022-00030,PI-2022-00016,PAYMENT,2022-02-16,EUR,2625.18,2165.77,BACS,BNK792647
PAY-2022-00031,PI-2022-00017,PAYMENT,2022-02-28,USD,654.53,519.43,CHEQUE,BNK258739
PAY-2022-00032,PI-2022-00018,PAYMENT,2022-02-21,GBP,19800.0,19800.0,BACS,BNK787629
PAY-2022-00033,PI-2022-00020,PAYMENT,2022-02-08,EUR,35403.37,29126.74,BACS,BNK997982
PAY-2022-00034,PI-2022-00021,PAYMENT,2022-02-03,EUR,10738.5,8952.78,BACS,BNK656597
PAY-2022-00035,PI-2022-00022,PAYMENT,2022-02-15,EUR,25628.48,21136.35,CHEQUE,BNK184507
PAY-2022-00036,PI-2022-00023,PAYMENT,2022-02-11,EUR,2211.25,1832.32,BACS,BNK710120
PAY-2022-00037,PI-2022-00024,PAYMENT,2022-02-17,GBP,1725.77,1725.77,BACS,BNK329481
PAY-2022-00038,PI-2022-00025,PAYMENT,2022-02-23,USD,2332.85,1826.66,BACS,BNK882897
PAY-2022-00039,PI-2022-00030,PAYMENT,2022-02-11,GBP,30041.72,30041.72,BACS,BNK328623
PAY-2022-00040,PI-2022-00031,PAYMENT,2022-02-18,EUR,5974.44,4935.53,BACS,BNK215853
PAY-2022-00041,PI-2022-00032,PAYMENT,2022-01-28,GBP,2324.44,2324.44,CHEQUE,BNK984434
PAY-2022-00042,PI-2022-00034,PAYMENT,2022-02-10,EUR,912.4,752.97,BACS,BNK898940
PAY-2022-00043,PI-2022-00045,PAYMENT,2022-02-25,GBP,2331.88,2331.88,BACS,BNK823501
PAY-2022-00044,PI-2022-00052,PAYMENT,2022-02-18,GBP,804.34,804.34,BACS,BNK448893
RCP-2022-00045,SI-2022-00002,RECEIPT,2022-02-09,EUR,2621.23,2154.6,BACS,BNK658346
RCP-2022-00046,SI-2022-00004,RECEIPT,2022-02-22,GBP,5838.42,5838.42,CHEQUE,BNK570891
RCP-2022-00047,SI-2022-00005,RECEIPT,2022-03-01,GBP,29747.39,29747.39,BACS,BNK321527
RCP-2022-00048,SI-2022-00009,RECEIPT,2022-03-04,EUR,7862.84,6578.07,BACS,BNK672210
RCP-2022-00049,SI-2022-00011,RECEIPT,2022-03-16,EUR,15162.42,12686.56,BACS,BNK495233
RCP-2022-00050,SI-2022-00013,RECEIPT,2022-02-18,EUR,7430.0,6137.98,BACS,BNK692000
RCP-2022-00051,SI-2022-00014,RECEIPT,2022-03-01,GBP,24284.44,24284.44,BACS,BNK176338
RCP-2022-00052,SI-2022-00015,RECEIPT,2022-03-04,EUR,10761.75,9003.3,bacs,BNK373341
RCP-2022-00053,SI-2022-00016,RECEIPT,2022-03-30,GBP,15047.83,15047.83,BACS,BNK596449
RCP-2022-00054,SI-2022-00017,RECEIPT,2022-03-11,GBP,4240.5,4240.5,BACS,BNK198694
RCP-2022-00055,SI-2022-00018,RECEIPT,2022-02-11,GBP,19092.35,19092.35,BACS,BNK866577
RCP-2022-00056,SI-2022-00021,RECEIPT,2022-02-25,GBP,8925.16,8925.16,CHEQUE,BNK252745
RCP-2022-00057,SI-2022-00023,RECEIPT,2022-02-28,GBP,3901.61,3901.61,BACS,BNK930634
RCP-2022-00058,SI-2022-00029,RECEIPT,2022-02-17,GBP,11993.14,11993.14,CARD,BNK894850
RCP-2022-00059,SI-2022-00031,RECEIPT,2022-03-18,GBP,16113.11,16113.11,BACS,BNK438105
RCP-2022-00060,SI-2022-00032,RECEIPT,2022-02-11,GBP,28476.79,28476.79,BACS,BNK251727
RCP-2022-00061,SI-2022-00039,RECEIPT,2022-03-04,USD,3571.16,2811.69,CARD,BNK395538
RCP-2022-00062,SI-2022-00042,RECEIPT,2022-03-07,GBP,5692.03,5692.03,BACS,BNK434112
RCP-2022-00063,SI-2022-00046,RECEIPT,2022-03-31,EUR,4143.71,3486.68,BACS,BNK770164
RCP-2022-00064,SI-2022-00053,RECEIPT,2022-03-18,GBP,38117.36,38117.36,BACS,BNK994069
RCP-2022-00065,SI-2022-00057,RECEIPT,2022-03-25,EUR,29632.09,24960.21,BACS,BNK212885
RCP-2022-00066,SI-2022-00058,RECEIPT,2022-03-23,EUR,11073.54,9357.78,CHEQUE,BNK764927
RCP-2022-00067,SI-2022-00059,RECEIPT,2022-03-25,GBP,6828.43,6828.43,BACS,BNK850421
RCP-2022-00068,SI-2022-00060,RECEIPT,2022-03-11,GBP,19135.92,19135.92,BACS,BNK862358
RCP-2022-00069,SI-2022-00063,RECEIPT,2022-03-14,USD,3559.44,2777.13,CARD,BNK449856
RCP-2022-00070,SI-2022-00067,RECEIPT,2022-03-29,USD,23397.5,18470.97,BACS,BNK413378
RCP-2022-00071,SI-2022-00068,RECEIPT,2022-03-29,GBP,7519.14,7519.14,BACS,BNK996740
RCP-2022-00072,SI-2022-00069,RECEIPT,2022-03-11,GBP,4280.42,4280.42,BACS,BNK733625
RCP-2022-00073,SI-2022-00076,RECEIPT,2022-03-08,USD,2985.22,2324.13,BACS,BNK403868
RCP-2022-00074,SI-2022-00077,RECEIPT,2022-03-29,GBP,3355.0,3355.0,BACS,BNK694255
RCP-2022-00075,SI-2022-00078,RECEIPT,2022-03-17,GBP,4492.82,4492.82,cheque,BNK433449
RCP-2022-00076,SI-2022-00079,RECEIPT,2022-03-25,USD,6217.47,4952.0,CARD,BNK868591
RCP-2022-00077,SI-2022-00080,RECEIPT,2022-03-08,GBP,3592.63,3592.63,BACS,BNK383968
RCP-2022-00078,SI-2022-00081,RECEIPT,2022-03-04,EUR,9583.87,8017.88,CHEQUE,BNK726245
RCP-2022-00079,SI-2022-00084,RECEIPT,2022-03-18,GBP,4213.7,4213.7,BACS,BNK406952
RCP-2022-00080,SI-2022-00086,RECEIPT,2022-03-16,GBP,2514.37,2514.37,BACS,BNK467609
RCP-2022-00081,SI-2022-00087,RECEIPT,2022-03-15,GBP,9875.23,9875.23,BACS,BNK623347
RCP-2022-00082,SI-2022-00110,RECEIPT,2022-03-18,GBP,6571.86,6571.86,CHEQUE,BNK331401
RCP-2022-00083,SI-2022-00135,RECEIPT,2022-03-30,GBP,7487.45,7487.45,BACS,BNK495115
PAY-2022-00084,PI-2022-00003,PAYMENT,2022-03-29,EUR,3168.62,2655.47,CHEQUE,BNK197045
PAY-2022-00085,PI-2022-00007,PAYMENT,2022-03-07,GBP,14351.23,14351.23,DD,BNK348042
PAY-2022-00086,PI-2022-00011,PAYMENT,2022-03-18,EUR,37704.13,31824.74,BACS,BNK460032
PAY-2022-00087,PI-2022-00013,PAYMENT,2022-03-11,GBP,816.3,816.3,BACS,BNK798635
PAY-2022-00088,PI-2022-00015,PAYMENT,2022-03-14,GBP,2083.51,2083.51,CHEQUE,BNK143104
PAY-2022-00089,PI-2022-00019,PAYMENT,2022-03-11,GBP,12160.76,12160.76,BACS,BNK608838
PAY-2022-00090,PI-2022-00026,PAYMENT,2022-03-04,EUR,855.51,715.72,DD,BNK667824
PAY-2022-00091,PI-2022-00028,PAYMENT,2022-03-18,GBP,5054.77,5054.77,BACS,BNK564848
PAY-2022-00092,PI-2022-00033,PAYMENT,2022-02-15,GBP,5644.8,5644.8,BACS,BNK449862
PAY-2022-00093,PI-2022-00035,PAYMENT,2022-03-04,GBP,9203.09,9203.09,BACS,BNK141340
PAY-2022-00094,PI-2022-00036,PAYMENT,2022-03-18,EUR,395.81,334.09,CHEQUE,BNK552522
PAY-2022-00095,PI-2022-00038,PAYMENT,2022-03-10,GBP,1761.34,1761.34,CHEQUE,BNK439469
PAY-2022-00096,PI-2022-00039,PAYMENT,2022-03-02,EUR,5911.55,4953.28,BACS,BNK985993
PAY-2022-00097,PI-2022-00040,PAYMENT,2022-03-02,EUR,19260.76,16138.55,CHEQUE,BNK484536
PAY-2022-00098,PI-2022-00041,PAYMENT,2022-03-04,GBP,3147.4,3147.4,bacs,BNK204423
PAY-2022-00099,PI-2022-00043,PAYMENT,2022-03-29,EUR,26483.58,22194.62,BACS,BNK438821
PAY-2022-00100,PI-2022-00044,PAYMENT,2022-03-23,GBP,1345.31,1345.31,BACS,BNK781382
PAY-2022-00101,PI-2022-00048,PAYMENT,2022-03-04,GBP,21175.4,21175.4,BACS,BNK448509
PAY-2022-00102,PI-2022-00050,PAYMENT,2022-03-17,EUR,21505.48,18014.22,BACS,BNK192749
PAY-2022-00103,PI-2022-00051,PAYMENT,2022-02-22,EUR,6779.38,5615.67,BACS,BNK709317
PAY-2022-00104,PI-2022-00053,PAYMENT,2022-03-29,USD,468.46,369.82,DD,BNK450093
PAY-2022-00105,PI-2022-00058,PAYMENT,2022-03-25,GBP,7193.8,7193.8,BACS,BNK592488
PAY-2022-00106,PI-2022-00059,PAYMENT,2022-03-04,USD,2142.12,1686.56,BACS,BNK128901
PAY-2022-00107,PI-2022-00061,PAYMENT,2022-03-11,EUR,9821.95,8185.14,BACS,BNK182220
PAY-2022-00108,PI-2022-00063,PAYMENT,2022-03-15,USD,885.42,688.95,BACS,BNK385085
PAY-2022-00109,PI-2022-00065,PAYMENT,2022-02-18,EUR,1008.27,832.94,BACS,BNK816714
PAY-2022-00110,PI-2022-00066,PAYMENT,2022-03-25,GBP,48679.45,48679.45,DD,BNK601896
PAY-2022-00111,PI-2022-00067,PAYMENT,2022-03-21,GBP,3441.05,3441.05,CHEQUE,BNK250916
PAY-2022-00112,PI-2022-00069,PAYMENT,2022-03-25,GBP,4291.58,4291.58,DD,BNK916208
RCP-2022-00113,SI-2022-00008,RECEIPT,2022-03-11,GBP,4226.59,4226.59,BACS,BNK854440
RCP-2022-00114,SI-2022-00012,RECEIPT,2022-02-18,GBP,7148.1,7148.1,BACS,BNK715921
RCP-2022-00115,SI-2022-00019,RECEIPT,2022-04-29,GBP,32007.08,32007.08,CARD,BNK132856
RCP-2022-00116,SI-2022-00022,RECEIPT,2022-04-01,GBP,19069.93,19069.93,BACS,BNK192821
RCP-2022-00117,SI-2022-00025,RECEIPT,2022-03-14,GBP,4017.97,4017.97,CHEQUE,BNK799849
RCP-2022-00118,SI-2022-00038,RECEIPT,2022-02-25,EUR,5302.09,4354.45,BACS,BNK513826
RCP-2022-00119,SI-2022-00040,RECEIPT,2022-03-25,EUR,11286.43,9506.98,CARD,BNK920850
RCP-2022-00120,SI-2022-00047,RECEIPT,2022-04-15,EUR,2747.07,2301.93,BACS,BNK393055
RCP-2022-00121,SI-2022-00051,RECEIPT,2022-03-25,GBP,6072.6,6072.6,bacs,BNK968734
RCP-2022-00122,SI-2022-00052,RECEIPT,2022-04-05,EUR,4409.63,3678.6,BACS,BNK424369
RCP-2022-00123,SI-2022-00054,RECEIPT,2022-04-18,EUR,1056.5,889.33,BACS,BNK986062
RCP-2022-00124,SI-2022-00062,RECEIPT,2022-03-18,USD,3716.07,2888.61,CARD,BNK860873
RCP-2022-00125,SI-2022-00070,RECEIPT,2022-04-08,GBP,3449.5,3449.5,BACS,BNK374730
RCP-2022-00126,SI-2022-00073,RECEIPT,2022-03-25,GBP,14088.97,14088.97,BACS,BNK874657
RCP-2022-00127,SI-2022-00075,RECEIPT,2022-03-17,GBP,14242.78,14242.78,BACS,BNK489100
RCP-2022-00128,SI-2022-00088,RECEIPT,2022-03-28,EUR,4810.97,4053.12,CHEQUE,BNK776865
RCP-2022-00129,SI-2022-00090,RECEIPT,2022-04-15,GBP,1374.96,1374.96,CARD,BNK748572
RCP-2022-00130,SI-2022-00091,RECEIPT,2022-04-06,EUR,18524.56,15465.36,BACS,BNK329537
RCP-2022-00131,SI-2022-00092,RECEIPT,2022-04-15,GBP,12421.2,12421.2,CHEQUE,BNK851760
